campaignId,influencerId,likes,comments,shares,views
108,influencer_486,4261,245,472,6075
110,influencer_578,2588,382,251,4310
100,influencer_188,923,155,60,2905
110,influencer_587,1030,362,292,89649
108,influencer_341,1506,934,456,10407
103,influencer_933,2278,155,88,76964
109,influencer_175,4542,575,122,47677
105,influencer_980,4528,939,68,87961
103,influencer_1000,3888,178,266,11740
102,influencer_957,1803,833,30,71956
108,influencer_182,2966,505,184,87372
108,influencer_728,2591,808,179,81917
105,influencer_806,4812,306,107,51688
110,influencer_50,2499,134,65,96507
104,influencer_726,3932,71,193,25775
108,influencer_31,1503,528,258,18821
110,influencer_129,2571,897,277,3764
108,influencer_600,131,386,261,35909
102,influencer_853,4327,216,47,91251
107,influencer_608,4036,110,425,37225
101,influencer_504,2639,387,267,7403
106,influencer_302,4428,861,365,97628
107,influencer_731,3020,30,314,41013
106,influencer_555,137,30,264,15642
102,influencer_234,630,792,107,50334
109,influencer_81,197,669,242,76326
107,influencer_217,313,910,274,91893
104,influencer_142,2017,12,490,19501
100,influencer_431,382,525,247,69020
104,influencer_756,4839,645,368,16351
100,influencer_108,4616,346,231,33179
102,influencer_536,3635,960,315,94136
100,influencer_444,3237,757,371,5637
102,influencer_430,1602,798,94,88901
101,influencer_66,2041,937,207,40581
107,influencer_824,733,480,442,53940
107,influencer_671,2593,581,353,74790
101,influencer_797,1305,375,404,5129
104,influencer_405,4432,66,262,40922
107,influencer_18,3019,608,119,4435
106,influencer_416,487,542,413,38152
109,influencer_911,1377,104,467,50116
100,influencer_639,3220,246,437,5456
109,influencer_842,349,105,132,1832
109,influencer_234,1914,994,460,57970
110,influencer_390,3192,859,70,49924
100,influencer_552,3412,309,84,14478
107,influencer_764,1916,416,188,28978
101,influencer_534,699,724,250,23091
108,influencer_785,2445,519,185,98837
110,influencer_954,3885,646,52,67275
104,influencer_781,4746,6,412,70736
106,influencer_119,1870,864,457,61103
107,influencer_860,2295,408,60,21644
106,influencer_112,4932,612,425,51109
104,influencer_640,300,870,186,41231
102,influencer_663,3416,708,170,36883
102,influencer_192,2509,510,280,47573
105,influencer_591,1846,203,156,89177
105,influencer_592,4053,234,7,34252
106,influencer_74,2073,111,160,7234
103,influencer_961,656,16,107,33891
110,influencer_508,4092,335,438,7812
102,influencer_166,2520,134,465,46079
104,influencer_732,3025,138,402,56511
110,influencer_379,1506,999,267,44555
110,influencer_48,2399,646,484,51357
107,influencer_567,3177,773,288,40875
103,influencer_415,989,407,201,91698
109,influencer_178,288,50,317,27191
101,influencer_854,715,517,419,95200
110,influencer_234,2296,222,355,84951
101,influencer_621,4567,605,370,72444
106,influencer_328,2420,441,286,61913
105,influencer_191,2071,314,290,18394
107,influencer_93,4875,807,35,87089
110,influencer_275,4585,341,51,93071
101,influencer_291,3110,817,303,37641
104,influencer_57,1727,809,191,31276
102,influencer_646,473,302,75,47182
106,influencer_788,1918,886,388,88388
109,influencer_390,1968,187,191,90845
102,influencer_498,1983,130,174,25793
109,influencer_688,328,444,18,76348
101,influencer_894,1413,364,54,74879
101,influencer_242,4864,343,326,95809
101,influencer_956,1540,528,431,54713
110,influencer_456,4717,320,350,56909
104,influencer_450,2236,735,469,32086
110,influencer_355,776,964,330,14718
110,influencer_740,1645,876,185,16099
107,influencer_396,367,199,270,17024
107,influencer_349,4312,703,365,99392
110,influencer_364,2514,571,180,81285
110,influencer_404,4004,274,188,13813
109,influencer_24,4774,776,155,67979
103,influencer_168,2211,609,422,38850
102,influencer_843,3329,754,180,81457
106,influencer_678,4057,941,289,22132
100,influencer_429,2736,636,447,50682
105,influencer_997,4892,648,444,51969
105,influencer_510,1178,232,478,23574
110,influencer_566,712,284,26,56673
106,influencer_807,3388,991,416,62216
106,influencer_820,2166,426,494,98243
106,influencer_82,723,382,318,87040
107,influencer_72,4946,118,231,87291
104,influencer_42,4768,791,66,43655
110,influencer_784,126,598,125,68758
109,influencer_936,775,945,362,61786
100,influencer_147,4733,217,303,54775
105,influencer_120,2837,28,334,77867
108,influencer_592,3632,687,280,7528
101,influencer_942,4858,455,213,12207
107,influencer_521,3872,920,388,57501
105,influencer_372,1213,33,255,10770
105,influencer_997,4405,817,22,31098
108,influencer_495,4955,718,197,82897
105,influencer_142,1169,711,140,67300
106,influencer_403,3055,396,196,61098
102,influencer_713,121,929,370,25991
101,influencer_389,4009,980,225,88334
104,influencer_149,3554,888,147,21034
104,influencer_722,4981,905,75,48160
108,influencer_783,3440,633,496,89933
108,influencer_637,4035,51,417,91149
101,influencer_113,1120,197,383,26912
101,influencer_905,3949,163,466,54011
106,influencer_176,4780,505,47,64397
105,influencer_600,4148,589,300,66969
101,influencer_844,2505,464,276,49886
110,influencer_501,3561,872,337,44239
101,influencer_722,543,934,293,43573
102,influencer_179,1222,313,428,39038
100,influencer_8,703,728,74,81252
102,influencer_754,455,409,459,40571
110,influencer_471,4069,850,175,81764
101,influencer_66,50,385,266,30470
104,influencer_139,2329,68,487,68663
105,influencer_242,4281,565,35,41732
105,influencer_564,1632,271,96,32569
110,influencer_342,4190,62,467,22832
106,influencer_832,4870,409,54,65582
109,influencer_783,2993,83,389,80578
107,influencer_770,1106,264,41,2529
104,influencer_730,4993,103,353,78827
107,influencer_820,3163,436,126,74445
100,influencer_358,1471,421,419,88917
106,influencer_903,1133,298,128,71566
110,influencer_768,2735,576,454,61760
100,influencer_934,2412,543,206,30864
105,influencer_56,2880,388,181,7441
108,influencer_80,4863,642,185,86990
110,influencer_402,210,552,137,59516
100,influencer_216,4696,858,429,74774
105,influencer_854,3739,153,306,54083
108,influencer_44,2457,231,191,57228
109,influencer_153,1320,282,185,75649
103,influencer_880,4712,863,390,61697
108,influencer_173,2644,435,18,16820
109,influencer_915,2766,818,188,88243
102,influencer_893,3686,148,9,99001
105,influencer_772,1157,795,448,42469
102,influencer_185,794,791,165,25232
109,influencer_565,2906,340,354,55661
103,influencer_174,3140,111,466,96081
106,influencer_215,1365,313,37,69596
106,influencer_414,303,45,123,84182
105,influencer_152,1515,848,3,86327
102,influencer_564,1802,768,209,42481
100,influencer_425,3023,615,284,12156
107,influencer_286,1064,319,312,77807
110,influencer_365,2338,768,281,69694
108,influencer_569,4283,986,336,57059
104,influencer_877,3312,342,185,50523
100,influencer_701,2046,802,453,75885
100,influencer_228,2985,946,293,39218
108,influencer_962,3250,899,26,83554
104,influencer_695,2031,77,426,9038
100,influencer_207,3383,405,214,21255
102,influencer_781,2581,105,235,35954
110,influencer_806,1484,530,394,40696
109,influencer_307,2196,577,188,49541
109,influencer_173,4538,93,320,26382
104,influencer_155,1061,579,490,52051
106,influencer_504,2236,682,22,22830
108,influencer_903,4111,888,444,71280
109,influencer_439,1013,677,273,47400
109,influencer_287,286,366,255,3246
110,influencer_79,1031,850,153,61865
110,influencer_638,1837,635,65,15225
104,influencer_337,3331,644,110,98803
109,influencer_877,3151,844,160,35654
108,influencer_473,2000,687,136,20330
104,influencer_734,3152,195,480,49272
106,influencer_507,3241,295,220,50515
102,influencer_949,4214,147,183,12556
104,influencer_777,2733,34,111,69871
102,influencer_91,85,774,383,69949
103,influencer_195,4313,433,496,57180
104,influencer_562,1328,235,281,51008
105,influencer_955,1810,933,226,69941
109,influencer_515,4873,300,270,13558
104,influencer_454,184,442,238,8697
100,influencer_896,3036,698,94,91990
108,influencer_53,4740,127,68,11923
104,influencer_138,2783,400,45,90553
103,influencer_842,2758,226,185,95918
102,influencer_381,3001,242,371,28764
101,influencer_3,1758,458,428,83227
104,influencer_496,4988,180,391,33493
101,influencer_291,2498,932,58,85386
109,influencer_238,773,593,448,88933
105,influencer_855,754,660,84,85757
104,influencer_47,651,702,49,77761
104,influencer_609,4550,644,162,6324
108,influencer_95,4127,748,386,14361
104,influencer_678,1987,208,272,81114
102,influencer_595,2985,174,127,93647
110,influencer_897,1815,475,248,68990
103,influencer_497,4560,652,194,48638
101,influencer_11,2839,220,178,91323
103,influencer_519,3612,442,407,27061
109,influencer_454,2704,834,479,78715
108,influencer_724,1583,659,308,97921
108,influencer_144,3894,150,498,38111
100,influencer_807,1495,581,209,5119
101,influencer_456,2396,570,73,3550
110,influencer_577,4162,203,153,32510
109,influencer_955,507,361,470,77949
107,influencer_226,1849,933,458,84979
101,influencer_862,2306,892,72,86949
107,influencer_520,2722,560,21,98069
110,influencer_728,4136,770,316,75050
107,influencer_759,2637,874,22,37651
104,influencer_518,3031,795,249,4420
106,influencer_788,1313,675,167,97885
102,influencer_325,966,765,405,89284
107,influencer_844,3039,146,351,96110
101,influencer_251,145,450,339,14136
102,influencer_226,2119,586,237,24286
107,influencer_135,135,203,436,19552
101,influencer_959,3519,640,170,55545
109,influencer_652,3919,637,435,86207
105,influencer_1,1756,518,374,20138
110,influencer_22,940,98,433,60192
107,influencer_171,341,919,492,43290
108,influencer_743,2057,13,400,73852
102,influencer_655,3296,852,363,9753
106,influencer_211,4682,948,254,6458
106,influencer_574,2697,204,350,6977
108,influencer_865,553,83,343,84216
108,influencer_878,3552,157,134,90725
110,influencer_755,3515,905,497,32399
103,influencer_638,4839,586,282,96028
106,influencer_921,4923,892,131,27086
107,influencer_519,2484,592,58,74517
104,influencer_468,2365,92,495,53023
102,influencer_367,1284,506,163,80389
107,influencer_882,1614,562,58,72171
108,influencer_261,1637,188,473,19128
106,influencer_48,2172,117,114,84468
102,influencer_83,4476,315,64,45318
102,influencer_529,2021,227,139,98464
102,influencer_149,2638,986,312,4016
100,influencer_533,1299,832,293,18262
100,influencer_903,4704,123,210,55259
102,influencer_223,2113,5,472,48047
106,influencer_548,4795,571,286,82769
102,influencer_492,4521,13,25,25519
103,influencer_11,527,353,296,35018
102,influencer_591,650,715,408,81549
106,influencer_286,839,434,83,28286
110,influencer_496,1853,120,355,15991
107,influencer_202,384,770,423,26614
106,influencer_466,2473,174,124,34544
106,influencer_389,1217,793,68,43891
104,influencer_712,338,640,231,91045
100,influencer_979,3077,850,397,19962
105,influencer_760,1085,388,400,92257
109,influencer_542,407,327,260,46679
108,influencer_130,1050,324,488,30838
105,influencer_496,3938,470,232,74662
107,influencer_829,4958,994,359,90485
108,influencer_899,4336,698,297,7842
105,influencer_702,3326,583,45,85046
109,influencer_231,3460,604,317,80289
104,influencer_463,3659,257,51,8857
100,influencer_938,3417,548,166,70898
100,influencer_917,723,826,70,23270
103,influencer_458,2598,714,270,90002
107,influencer_611,4128,326,422,9346
105,influencer_986,1390,812,225,88970
102,influencer_9,1429,439,148,65591
100,influencer_207,1786,342,24,15067
107,influencer_977,4065,773,268,91420
106,influencer_573,237,481,360,3718
103,influencer_604,4925,321,17,47950
103,influencer_258,150,546,241,67580
101,influencer_600,1933,499,429,81129
107,influencer_532,2864,31,212,90357
108,influencer_465,3740,310,319,13534
101,influencer_240,1356,142,228,53335
100,influencer_45,3942,793,435,22134
108,influencer_630,908,364,476,99741
108,influencer_727,3037,226,294,40502
101,influencer_188,1676,990,359,84020
106,influencer_972,1964,649,138,33405
100,influencer_149,610,554,447,66711
102,influencer_147,2806,742,169,24916
107,influencer_417,4746,27,95,25307
109,influencer_501,1669,625,112,65127
101,influencer_849,596,854,290,40596
102,influencer_332,650,785,254,30437
106,influencer_849,3363,94,305,29945
102,influencer_774,4958,653,206,6125
100,influencer_697,3741,678,65,93942
105,influencer_768,4951,147,133,96728
106,influencer_432,359,624,83,24609
106,influencer_914,234,368,112,75914
108,influencer_334,4155,266,478,65564
101,influencer_365,1166,354,24,97373
103,influencer_335,2174,252,394,24701
102,influencer_543,2983,979,324,65802
108,influencer_909,4969,152,453,83391
103,influencer_260,4215,218,199,9070
107,influencer_543,3172,462,443,14439
105,influencer_417,602,330,183,14392
102,influencer_255,4604,710,330,46375
102,influencer_308,1626,251,491,78257
109,influencer_751,4861,699,346,39954
103,influencer_531,4830,630,124,42102
103,influencer_241,4264,745,127,32532
102,influencer_304,1905,146,311,5631
103,influencer_351,724,504,272,45808
108,influencer_734,2171,702,1,63748
104,influencer_838,2561,557,158,4295
102,influencer_144,567,516,199,13312
102,influencer_9,1557,364,451,49523
100,influencer_30,3246,529,487,77532
110,influencer_283,1889,489,31,50361
107,influencer_248,3618,891,104,81074
106,influencer_534,1061,239,316,24781
109,influencer_950,4748,548,206,67514
101,influencer_392,30,888,272,55479
100,influencer_132,1139,132,187,79233
103,influencer_575,2453,341,62,52118
107,influencer_764,2271,308,115,57683
100,influencer_542,3765,851,116,43923
107,influencer_802,3723,661,278,31872
108,influencer_739,592,296,376,4199
107,influencer_962,1377,739,179,81953
102,influencer_294,1244,824,115,56467
105,influencer_278,2250,138,401,4240
104,influencer_563,2048,436,318,81535
101,influencer_58,3544,507,97,95346
110,influencer_766,1722,304,341,50090
102,influencer_114,4565,325,109,64425
105,influencer_970,1630,321,267,80029
104,influencer_412,1116,346,474,65970
104,influencer_260,3124,482,54,8718
108,influencer_823,577,576,200,6301
101,influencer_745,1315,521,50,72565
102,influencer_235,2643,711,152,42981
109,influencer_414,1980,980,267,24057
104,influencer_182,2317,355,224,55053
105,influencer_716,175,49,49,89718
105,influencer_34,165,882,55,52897
110,influencer_228,4176,681,244,61322
101,influencer_953,343,870,287,83082
109,influencer_35,1004,873,226,95965
100,influencer_436,1469,932,87,38337
108,influencer_461,4451,212,448,39055
101,influencer_536,2096,491,412,33502
101,influencer_611,442,216,238,75748
104,influencer_445,3732,814,457,32806
103,influencer_626,1084,618,191,90208
105,influencer_781,3973,600,117,50612
101,influencer_129,2106,225,420,80262
106,influencer_381,4770,147,349,76178
100,influencer_99,1956,67,12,51463
104,influencer_269,3967,580,14,93448
108,influencer_722,2836,906,481,87654
100,influencer_422,2302,515,408,76255
108,influencer_507,1866,211,447,35526
106,influencer_952,3712,697,485,13592
108,influencer_769,1307,144,123,77482
109,influencer_503,4284,562,323,65387
103,influencer_378,2494,204,430,16070
109,influencer_769,798,488,117,55675
101,influencer_938,4830,851,444,75448
102,influencer_762,3557,778,145,34569
110,influencer_28,1513,208,249,57072
104,influencer_192,3038,386,328,29169
107,influencer_475,4093,927,73,11452
100,influencer_542,2172,714,134,92348
107,influencer_742,2108,649,413,88478
103,influencer_554,706,900,364,96298
105,influencer_52,3660,80,133,88209
103,influencer_210,2276,793,16,25820
106,influencer_268,1423,159,403,93960
101,influencer_767,994,802,352,31988
104,influencer_893,2190,239,38,28596
107,influencer_515,18,532,228,1732
110,influencer_969,3145,912,351,29782
107,influencer_68,231,1000,169,40951
101,influencer_857,4876,549,398,19657
102,influencer_869,768,185,324,68434
104,influencer_873,815,709,122,72483
107,influencer_395,228,668,157,70341
102,influencer_94,128,949,77,33766
110,influencer_463,2282,748,449,66635
100,influencer_259,370,342,247,54112
101,influencer_440,852,359,81,47725
104,influencer_358,3694,799,402,43747
109,influencer_699,3364,729,90,67420
107,influencer_800,2975,928,183,56464
104,influencer_4,1287,491,393,11533
102,influencer_615,597,54,341,25717
107,influencer_518,1212,251,85,9163
106,influencer_35,3297,614,99,55687
105,influencer_606,2146,43,135,70088
109,influencer_943,1338,389,369,87890
100,influencer_553,1361,267,443,3750
105,influencer_823,975,24,212,15826
103,influencer_398,1531,263,106,13850
104,influencer_557,3998,86,210,74637
100,influencer_905,4886,176,162,60318
108,influencer_747,1832,359,72,69639
102,influencer_858,1519,666,82,14407
102,influencer_979,1533,383,163,26463
109,influencer_424,4350,374,145,29329
102,influencer_201,2426,390,54,97646
101,influencer_997,965,368,290,90131
102,influencer_238,1216,70,234,98033
110,influencer_711,1389,920,180,14940
103,influencer_105,2566,442,160,11663
103,influencer_752,2966,877,128,76643
104,influencer_852,2788,466,27,62030
108,influencer_713,4504,732,230,13755
103,influencer_681,1356,54,85,88963
104,influencer_365,4699,601,96,30532
102,influencer_516,278,154,85,9192
109,influencer_954,3040,221,360,9765
110,influencer_785,1261,968,464,88357
105,influencer_860,762,898,72,16030
105,influencer_708,2195,233,74,60898
109,influencer_529,4044,238,487,87300
109,influencer_483,2356,256,357,28130
102,influencer_467,784,789,301,80812
104,influencer_808,2387,208,198,46163
109,influencer_381,901,800,191,27362
110,influencer_302,1748,191,387,72527
105,influencer_206,464,314,396,66316
105,influencer_411,2073,699,410,58401
101,influencer_15,1613,753,100,94195
110,influencer_659,4259,404,216,52183
106,influencer_204,1425,824,292,15744
108,influencer_549,4106,688,129,68240
100,influencer_276,4044,988,326,80201
103,influencer_69,4608,997,148,23227
110,influencer_649,2971,799,154,75889
105,influencer_506,4913,427,11,7193
103,influencer_31,908,155,164,17526
100,influencer_633,4671,844,291,67585
107,influencer_701,704,984,174,39040
108,influencer_635,4454,403,11,61070
102,influencer_437,3899,666,30,84309
110,influencer_210,4610,867,57,24757
104,influencer_810,4839,700,27,35110
106,influencer_253,3480,658,291,83402
100,influencer_26,1385,581,493,49339
107,influencer_787,2174,361,123,88923
105,influencer_568,4825,350,304,28603
106,influencer_954,2185,869,372,60198
107,influencer_6,523,225,281,69473
100,influencer_877,4388,884,80,98001
101,influencer_736,1723,686,75,89219
108,influencer_337,4001,695,46,24783
101,influencer_416,468,641,81,53839
102,influencer_287,3070,318,158,71478
108,influencer_142,3303,972,272,84139
104,influencer_168,4879,459,252,48838
101,influencer_161,4625,11,410,47844
109,influencer_505,4768,696,260,60207
108,influencer_343,3053,699,469,72932
107,influencer_831,2154,305,440,32292
109,influencer_736,847,158,134,68769
108,influencer_83,3018,35,226,61780
102,influencer_348,2242,594,197,88604
106,influencer_238,268,271,79,82748
108,influencer_185,2303,52,87,6572
108,influencer_285,195,276,327,49523
106,influencer_960,906,200,19,16805
104,influencer_885,3628,700,179,98949
103,influencer_875,722,286,204,85091
101,influencer_817,3480,737,384,61143
102,influencer_657,1674,536,1,8370
100,influencer_831,3391,663,211,50475
108,influencer_914,4904,269,79,58712
109,influencer_231,2186,219,111,70446
102,influencer_807,1343,972,202,47104
108,influencer_629,4150,718,22,44783
110,influencer_470,4659,341,176,12812
109,influencer_596,2308,70,359,86770
102,influencer_148,755,138,415,17551
102,influencer_394,335,846,242,90087
107,influencer_957,2960,466,189,34447
101,influencer_769,2199,298,259,41261
102,influencer_587,3821,77,401,42803
104,influencer_566,4755,879,412,45312
110,influencer_288,893,567,281,11784
101,influencer_78,4601,741,127,19151
110,influencer_470,2397,86,8,29636
110,influencer_902,2173,146,63,44315
105,influencer_123,3816,429,86,58961
104,influencer_189,2175,347,402,76938
107,influencer_125,1266,940,75,12782
107,influencer_763,2398,892,489,57775
100,influencer_652,3921,232,395,23422
103,influencer_472,4390,985,206,10588
103,influencer_193,2618,456,165,80383
105,influencer_367,2540,496,337,32923
100,influencer_277,3158,340,476,43950
107,influencer_590,380,665,435,97494
102,influencer_388,4513,388,74,40869
100,influencer_696,2538,838,419,71505
108,influencer_425,960,574,132,63966
109,influencer_438,4344,338,405,62755
110,influencer_661,4026,255,118,47653
102,influencer_823,3747,423,119,40480
110,influencer_675,1146,996,229,44121
106,influencer_443,2558,569,321,48773
102,influencer_613,3179,544,208,44307
108,influencer_807,1824,565,342,48257
103,influencer_245,3691,872,28,13414
108,influencer_598,1439,329,140,80869
105,influencer_312,4558,483,295,33448
106,influencer_866,4213,329,54,81617
103,influencer_95,555,352,308,21487
110,influencer_882,1531,497,360,90200
105,influencer_294,2688,307,88,79503
109,influencer_183,911,285,495,1852
101,influencer_414,4087,618,472,47293
101,influencer_937,681,650,99,46891
107,influencer_541,1366,866,31,37996
108,influencer_157,2772,671,134,66472
100,influencer_204,3220,80,443,23942
101,influencer_218,1861,464,333,76234
109,influencer_533,1461,974,42,8529
107,influencer_971,1289,869,471,86404
102,influencer_217,3015,616,411,60583
104,influencer_624,835,503,145,36528
102,influencer_685,4811,778,470,43716
109,influencer_488,1277,311,457,47023
108,influencer_550,820,561,223,67844
109,influencer_458,3450,793,238,52435
108,influencer_984,4871,277,462,47632
107,influencer_161,339,556,176,14871
108,influencer_824,4788,575,41,49891
101,influencer_579,4350,510,63,16755
105,influencer_323,759,288,176,51387
104,influencer_464,1053,71,170,12436
108,influencer_473,1175,182,341,29047
104,influencer_950,432,191,175,58440
107,influencer_362,4975,88,89,78000
106,influencer_510,4946,358,88,77653
108,influencer_105,4913,508,169,47754
110,influencer_154,3718,199,137,65666
107,influencer_714,3318,48,399,65904
108,influencer_489,2548,384,204,22014
100,influencer_893,3616,848,323,91210
102,influencer_938,3818,886,144,18695
109,influencer_73,4390,142,392,59497
108,influencer_406,3301,467,107,58492
105,influencer_124,861,234,400,83076
100,influencer_828,4382,589,411,82115
102,influencer_592,2723,63,165,57838
107,influencer_659,1036,345,414,18637
100,influencer_276,576,942,257,98586
110,influencer_423,2197,716,84,43892
103,influencer_734,215,845,266,4588
106,influencer_836,4794,486,305,96325
105,influencer_373,664,858,173,17315
110,influencer_700,902,271,310,96956
100,influencer_895,4432,240,53,82980
107,influencer_491,2998,71,71,19539
103,influencer_876,3057,605,221,74802
100,influencer_95,660,466,39,91574
110,influencer_91,3191,551,464,18658
101,influencer_921,3448,775,270,11148
100,influencer_105,2330,456,427,39603
106,influencer_962,4513,952,370,8370
109,influencer_177,1437,345,373,44995
107,influencer_850,3513,935,235,34655
105,influencer_306,820,929,39,35018
106,influencer_405,1313,715,346,65700
103,influencer_844,2056,913,232,34728
106,influencer_656,4907,532,132,63526
103,influencer_75,2994,764,399,88830
101,influencer_405,4280,721,205,24021
100,influencer_535,3351,573,122,47737
105,influencer_873,1361,734,325,45045
106,influencer_336,4968,533,227,10106
100,influencer_961,4635,818,288,48686
101,influencer_278,1922,800,450,52323
109,influencer_814,1392,708,361,81237
102,influencer_573,2189,250,408,78204
109,influencer_77,841,26,94,20423
107,influencer_537,2706,228,11,93272
106,influencer_294,3098,684,245,74724
105,influencer_304,4949,794,308,43054
109,influencer_815,4976,972,93,70052
104,influencer_472,603,272,225,3340
104,influencer_920,4821,431,81,27099
